time,num_usr
2022-06-10 00:00:00,70
2022-06-10 01:00:00,48
2022-06-10 02:00:00,45
2022-06-10 03:00:00,38
2022-06-10 04:00:00,35
2022-06-10 05:00:00,39
2022-06-10 06:00:00,58
2022-06-10 07:00:00,70
2022-06-10 08:00:00,90
2022-06-10 09:00:00,98
2022-06-10 10:00:00,105
2022-06-10 11:00:00,107
2022-06-10 12:00:00,115
2022-06-10 13:00:00,114
2022-06-10 14:00:00,110
2022-06-10 15:00:00,108
2022-06-10 16:00:00,103
2022-06-10 17:00:00,99
2022-06-10 18:00:00,96
2022-06-10 19:00:00,103
2022-06-10 20:00:00,109
2022-06-10 21:00:00,110
2022-06-10 22:00:00,94
2022-06-10 23:00:00,75
2022-06-11 00:00:00,65
2022-06-11 01:00:00,49
2022-06-11 02:00:00,41
2022-06-11 03:00:00,37
2022-06-11 04:00:00,33
2022-06-11 05:00:00,38
2022-06-11 06:00:00,56
2022-06-11 07:00:00,69
2022-06-11 08:00:00,86
2022-06-11 09:00:00,95
2022-06-11 10:00:00,103
2022-06-11 11:00:00,110
2022-06-11 12:00:00,109
2022-06-11 13:00:00,112
2022-06-11 14:00:00,103
2022-06-11 15:00:00,100
2022-06-11 16:00:00,101
2022-06-11 17:00:00,96
2022-06-11 18:00:00,93
2022-06-11 19:00:00,99
2022-06-11 20:00:00,103
2022-06-11 21:00:00,108
2022-06-11 22:00:00,93
2022-06-11 23:00:00,72
2022-06-12 00:00:00,63
2022-06-12 01:00:00,46
2022-06-12 02:00:00,39
2022-06-12 03:00:00,38
2022-06-12 04:00:00,37
2022-06-12 05:00:00,35
2022-06-12 06:00:00,38
2022-06-12 07:00:00,69
2022-06-12 08:00:00,88
2022-06-12 09:00:00,95
2022-06-12 10:00:00,102
2022-06-12 11:00:00,109
2022-06-12 12:00:00,119
2022-06-12 13:00:00,115
2022-06-12 14:00:00,112
2022-06-12 15:00:00,107
2022-06-12 16:00:00,103
2022-06-12 17:00:00,98
2022-06-12 18:00:00,95
2022-06-12 19:00:00,101
2022-06-12 20:00:00,108
2022-06-12 21:00:00,106
2022-06-12 22:00:00,94
2022-06-12 23:00:00,74
2022-06-13 00:00:00,59
2022-06-13 01:00:00,48
2022-06-13 02:00:00,41
2022-06-13 03:00:00,39
2022-06-13 04:00:00,36
2022-06-13 05:00:00,39
2022-06-13 06:00:00,60
2022-06-13 07:00:00,73
2022-06-13 08:00:00,91
2022-06-13 09:00:00,98
2022-06-13 10:00:00,109
2022-06-13 11:00:00,113
2022-06-13 12:00:00,109
2022-06-13 13:00:00,106
2022-06-13 14:00:00,102
2022-06-13 15:00:00,98
2022-06-13 16:00:00,95
2022-06-13 17:00:00,98
2022-06-13 18:00:00,95
2022-06-13 19:00:00,96
2022-06-13 20:00:00,103
2022-06-13 21:00:00,109
2022-06-13 22:00:00,95
2022-06-13 23:00:00,79
2022-06-14 00:00:00,61
2022-06-14 01:00:00,47
2022-06-14 02:00:00,38
2022-06-14 03:00:00,38
2022-06-14 04:00:00,36
2022-06-14 05:00:00,33
2022-06-14 06:00:00,35
2022-06-14 07:00:00,65
2022-06-14 08:00:00,85
2022-06-14 09:00:00,98
2022-06-14 10:00:00,104
2022-06-14 11:00:00,108
2022-06-14 12:00:00,115
2022-06-14 13:00:00,109
2022-06-14 14:00:00,113
2022-06-14 15:00:00,109
2022-06-14 16:00:00,99
2022-06-14 17:00:00,95
2022-06-14 18:00:00,94
2022-06-14 19:00:00,101
2022-06-14 20:00:00,118
2022-06-14 21:00:00,115
2022-06-14 22:00:00,108
2022-06-14 23:00:00,93
2022-06-15 00:00:00,85
2022-06-15 01:00:00,59
2022-06-15 02:00:00,48
2022-06-15 03:00:00,42
2022-06-15 04:00:00,39
2022-06-15 05:00:00,39
2022-06-15 06:00:00,42
2022-06-15 07:00:00,60
2022-06-15 08:00:00,83
2022-06-15 09:00:00,92
2022-06-15 10:00:00,100
2022-06-15 11:00:00,102
2022-06-15 12:00:00,110
2022-06-15 13:00:00,110
2022-06-15 14:00:00,110
2022-06-15 15:00:00,103
2022-06-15 16:00:00,98
2022-06-15 17:00:00,96
2022-06-15 18:00:00,98
2022-06-15 19:00:00,108
2022-06-15 20:00:00,119
2022-06-15 21:00:00,112
2022-06-15 22:00:00,110
2022-06-15 23:00:00,90
2022-06-16 00:00:00,89
2022-06-16 01:00:00,59
2022-06-16 02:00:00,47
2022-06-16 03:00:00,43
2022-06-16 04:00:00,40
2022-06-16 05:00:00,40
2022-06-16 06:00:00,38
2022-06-16 07:00:00,55
2022-06-16 08:00:00,80
2022-06-16 09:00:00,98
2022-06-16 10:00:00,105
2022-06-16 11:00:00,109
2022-06-16 12:00:00,116
2022-06-16 13:00:00,112
2022-06-16 14:00:00,111
2022-06-16 15:00:00,109
2022-06-16 16:00:00,95
2022-06-16 17:00:00,95
2022-06-16 18:00:00,99
2022-06-16 19:00:00,104
2022-06-16 20:00:00,110
2022-06-16 21:00:00,112
2022-06-16 22:00:00,108
2022-06-16 23:00:00,80
